Variable,Index,Value,Bounds
flux,PFK,2.19165615018326,"[0.0, 1000.0]"
flux,PFL,0.0,"[0.0, 1000.0]"
flux,PGI,1.49760401655228,"[0, 1000.0]"
flux,PGK,0.0,"[0, 1000.0]"
flux,PGL,1.20798747598805,"[0.0, 1000.0]"
flux,ACALD,0.0,"[0, 1000.0]"
flux,AKGt2r,0.0,"[0, 1000.0]"
flux,PGM,0.0,"[0, 1000.0]"
flux,PIt2r,0.518348024089119,"[0, 1000.0]"
flux,ALCD2x,0.0,"[0, 1000.0]"
flux,ACALDt,0.0,"[0, 1000.0]"
flux,ACKr,0.0,"[0, 1000.0]"
flux,PPC,0.403777991635572,"[0.0, 1000.0]"
flux,ACONTa,0.152022639299141,"[0, 1000.0]"
flux,ACONTb,0.152022639299141,"[0, 1000.0]"
flux,ATPM,8.39,"[8.39, 1000.0]"
flux,PPCK,0.0,"[0.0, 1000.0]"
flux,ACt2r,0.0,"[0, 1000.0]"
flux,PPS,0.0,"[0.0, 1000.0]"
flux,ADK1,0.0,"[0, 1000.0]"
flux,AKGDH,0.0,"[0.0, 1000.0]"
flux,ATPS4r,10.2099621407558,"[0, 1000.0]"
flux,PTAr,2.92474368218895,"[0, 1000.0]"
flux,PYK,1.26953013445857,"[0.0, 1000.0]"
flux,BIOMASS_Ecoli_core_w_GAM,0.140905217628271,"[0.0, 1000.0]"
flux,PYRt2,0.0,"[0, 1000.0]"
flux,CO2t,0.0,"[0, 1000.0]"
flux,RPE,0.704042313560829,"[0, 1000.0]"
flux,CS,0.152022639299141,"[0.0, 1000.0]"
flux,RPI,0.0,"[0, 1000.0]"
flux,SUCCt2_2,0.0,"[0.0, 1000.0]"
flux,CYTBD,8.79636499533378,"[0.0, 1000.0]"
flux,D_LACt2,0.0,"[0, 1000.0]"
flux,ENO,4.48092908671909,"[0, 1000.0]"
flux,SUCCt3,0.0,"[0.0, 1000.0]"
flux,ETOHt2r,0.0,"[0, 1000.0]"
flux,SUCDi,0.0,"[0.0, 1000.0]"
flux,SUCOAS,0.0,"[0, 1000.0]"
flux,TALA,0.377454548562317,"[0, 1000.0]"
flux,THD2,0.0,"[0.0, 1000.0]"
flux,TKT1,0.377454548562317,"[0, 1000.0]"
flux,TKT2,0.326587764998512,"[0, 1000.0]"
flux,TPI,2.19165615018326,"[0, 1000.0]"
flux,EX_ac_e,2.92474368218895,"[0, 1000.0]"
flux,EX_acald_e,0.0,"[0, 1000.0]"
flux,EX_akg_e,0.0,"[0, 1000.0]"
flux,EX_co2_e,4.56108301976693,"[0, 1000.0]"
flux,EX_etoh_e,0.0,"[0, 1000.0]"
flux,EX_for_e,0.0,"[0, 1000.0]"
flux,EX_fru_e,0.0,"[0, 1000.0]"
flux,EX_fum_e,0.0,"[0, 1000.0]"
flux,EX_glc__D_e,0.0,"[0, 1000.0]"
flux,EX_gln__L_e,0.0,"[0, 1000.0]"
flux,EX_glu__L_e,0.0,"[0, 1000.0]"
flux,EX_h_e,5.75130234781205,"[0, 1000.0]"
flux,EX_h2o_e,5.58749298705831,"[0, 1000.0]"
flux,EX_lac__D_e,0.0,"[0, 1000.0]"
flux,EX_mal__L_e,0.0,"[0, 1000.0]"
flux,EX_nh4_e,0.0,"[0, 1000.0]"
flux,EX_o2_e,0.0,"[0, 1000.0]"
flux,EX_pi_e,0.0,"[0, 1000.0]"
flux,EX_pyr_e,0.0,"[0, 1000.0]"
flux,EX_succ_e,0.0,"[0, 1000.0]"
flux,FBA,2.19165615018326,"[0, 1000.0]"
flux,FBP,0.0,"[0.0, 1000.0]"
flux,FORt2,0.0,"[0.0, 1000.0]"
flux,FORt,0.0,"[0, 0]"
flux,FRD7,0.0,"[0.0, 1000.0]"
flux,FRUpts2,0.0,"[0.0, 1000.0]"
flux,FUM,0.0,"[0, 1000.0]"
flux,FUMt2_2,0.0,"[0.0, 1000.0]"
flux,G6PDH2r,1.20798747598804,"[0, 1000.0]"
flux,GAPD,4.69172329229099,"[0, 1000.0]"
flux,GLCpts,2.73447706215412,"[0.0, 1000.0]"
flux,GLNS,0.0360294641475487,"[0.0, 1000.0]"
flux,GLNabc,0.0,"[0.0, 1000.0]"
flux,GLUDy,0.0,"[0, 1000.0]"
flux,GLUN,0.0,"[0.0, 1000.0]"
flux,GLUSy,0.0,"[0.0, 1000.0]"
flux,GLUt2r,0.0,"[0, 1000.0]"
flux,GND,1.20798747598805,"[0.0, 1000.0]"
flux,H2Ot,0.0,"[0, 1000.0]"
flux,ICDHyr,0.152022639299141,"[0, 1000.0]"
flux,ICL,0.0,"[0.0, 1000.0]"
flux,LDH_D,0.0,"[0, 1000.0]"
flux,MALS,0.0,"[0.0, 1000.0]"
flux,MALt2_2,0.0,"[0.0, 1000.0]"
flux,MDH,0.0,"[0, 1000.0]"
flux,ME1,0.0,"[0.0, 1000.0]"
flux,ME2,0.0,"[0.0, 1000.0]"
flux,NADH16,8.79636499533378,"[0.0, 1000.0]"
flux,NADTRHD,0.0,"[0.0, 1000.0]"
flux,NH4t,0.768327970683433,"[0, 1000.0]"
flux,O2t,4.39818249766689,"[0, 1000.0]"
flux,PDH,3.60485089611532,"[0.0, 1000.0]"
flux,PGI_reverse,0.0,"[0, 1000.0]"
flux,PGK_reverse,4.69172329229099,"[0, 1000.0]"
flux,ACALD_reverse,0.0,"[0, 1000.0]"
flux,AKGt2r_reverse,0.0,"[0, 1000.0]"
flux,PGM_reverse,4.48092908671909,"[0, 1000.0]"
flux,PIt2r_reverse,0.0,"[0, 1000.0]"
flux,ALCD2x_reverse,0.0,"[0, 1000.0]"
flux,ACALDt_reverse,0.0,"[0, 1000.0]"
flux,ACKr_reverse,2.92474368218895,"[0, 1000.0]"
flux,ACONTa_reverse,0.0,"[0, 1000.0]"
flux,ACONTb_reverse,0.0,"[0, 1000.0]"
flux,ACt2r_reverse,2.92474368218895,"[0, 1000.0]"
flux,ADK1_reverse,0.0,"[0, 1000.0]"
flux,ATPS4r_reverse,0.0507325690166545,"[0, 1000.0]"
flux,PTAr_reverse,0.0,"[0, 1000.0]"
flux,PYRt2_reverse,0.0,"[0, 1000.0]"
flux,CO2t_reverse,4.56108301976693,"[0, 1000.0]"
flux,RPE_reverse,0.0,"[0, 1000.0]"
flux,RPI_reverse,0.503945162427216,"[0, 1000.0]"
flux,D_LACt2_reverse,0.0,"[0, 1000.0]"
flux,ENO_reverse,0.0,"[0, 1000.0]"
flux,ETOHt2r_reverse,0.0,"[0, 1000.0]"
flux,SUCOAS_reverse,0.0,"[0, 1000.0]"
flux,TALA_reverse,0.0,"[0, 1000.0]"
flux,TKT1_reverse,0.0,"[0, 1000.0]"
flux,TKT2_reverse,0.0,"[0, 1000.0]"
flux,TPI_reverse,0.0,"[0, 1000.0]"
flux,EX_ac_e_reverse,0.0,"[0, -0.0]"
flux,EX_acald_e_reverse,0.0,"[0, -0.0]"
flux,EX_akg_e_reverse,0.0,"[0, -0.0]"
flux,EX_co2_e_reverse,0.0,"[0, 1000.0]"
flux,EX_etoh_e_reverse,0.0,"[0, -0.0]"
flux,EX_for_e_reverse,0.0,"[0, -0.0]"
flux,EX_fru_e_reverse,0.0,"[0, -0.0]"
flux,EX_fum_e_reverse,0.0,"[0, -0.0]"
flux,EX_glc__D_e_reverse,2.73447706215412,"[0, 10.0]"
flux,EX_gln__L_e_reverse,0.0,"[0, -0.0]"
flux,EX_glu__L_e_reverse,0.0,"[0, -0.0]"
flux,EX_h_e_reverse,0.0,"[0, 1000.0]"
flux,EX_h2o_e_reverse,0.0,"[0, 1000.0]"
flux,EX_lac__D_e_reverse,0.0,"[0, -0.0]"
flux,EX_mal__L_e_reverse,0.0,"[0, -0.0]"
flux,EX_nh4_e_reverse,0.768327970683433,"[0, 1000.0]"
flux,EX_o2_e_reverse,4.39818249766689,"[0, 1000.0]"
flux,EX_pi_e_reverse,0.518348024089119,"[0, 1000.0]"
flux,EX_pyr_e_reverse,0.0,"[0, -0.0]"
flux,EX_succ_e_reverse,0.0,"[0, -0.0]"
flux,FBA_reverse,0.0,"[0, 1000.0]"
flux,FORt_reverse,0.0,"[0, 1000.0]"
flux,FUM_reverse,0.0,"[0, 1000.0]"
flux,G6PDH2r_reverse,0.0,"[0, 1000.0]"
flux,GAPD_reverse,0.0,"[0, 1000.0]"
flux,GLUDy_reverse,0.732298506535885,"[0, 1000.0]"
flux,GLUt2r_reverse,0.0,"[0, 1000.0]"
flux,H2Ot_reverse,5.58749298705831,"[0, 1000.0]"
flux,ICDHyr_reverse,0.0,"[0, 1000.0]"
flux,LDH_D_reverse,0.0,"[0, 1000.0]"
flux,MDH_reverse,0.0,"[0, 1000.0]"
flux,NH4t_reverse,0.0,"[0, 1000.0]"
flux,O2t_reverse,0.0,"[0, 1000.0]"
enzyme,b1241,0.0,
enzyme,b0351,0.0,
enzyme,s0001,0.0,
enzyme,b1849,3.31179582317188e-05,
enzyme,b3115,9.53501916833282e-06,
enzyme,b2296,4.04618330416912e-07,
enzyme,b1276,5.96048780980586e-06,
enzyme,b0118,9.35962442188367e-06,
enzyme,b0474,0.0,
enzyme,b0116,9.88996894938178e-05,
enzyme,b0727,0.0,
enzyme,b0726,0.0,
enzyme,b2587,0.0,
enzyme,b0356,0.0,
enzyme,b1478,0.0,
enzyme,b3734,6.30965974455837e-05,
enzyme,b3733,0.000269241479048803,
enzyme,b3736,0.000390859306663272,
enzyme,b3737,0.000604991172811649,
enzyme,b3739,0.000347286968885498,
enzyme,b3738,0.000528470122688825,
enzyme,b3735,0.0,
enzyme,b3731,0.000342613852616105,
enzyme,b3732,0.000224062576190591,
enzyme,b0720,1.15683364227085e-06,
enzyme,b0733,3.27772646602001e-05,
enzyme,b0734,2.99447713049228e-05,
enzyme,b0979,3.27635575795005e-05,
enzyme,b0978,6.13645848228837e-05,
enzyme,b3603,0.0,
enzyme,b2975,0.0,
enzyme,b2779,3.15033826447124e-05,
enzyme,b2925,0.000392150049272237,
enzyme,b1773,0.00010309878130857,
enzyme,b2097,0.000173607553235078,
enzyme,b3925,0.0,
enzyme,b4232,0.0,
enzyme,b2492,0.0,
enzyme,b0904,0.0,
enzyme,b4152,0.0,
enzyme,b4154,0.0,
enzyme,b4153,0.0,
enzyme,b4151,0.0,
enzyme,b1819,5.9239396548966e-05,
enzyme,b1817,0.000150271251831019,
enzyme,b2416,6.54255235913795e-05,
enzyme,b2415,2.47506137990136e-05,
enzyme,b1818,4.78246614195994e-05,
enzyme,b1611,0.0,
enzyme,b4122,0.0,
enzyme,b1612,0.0,
enzyme,b3528,0.0,
enzyme,b1852,5.94485571924647e-06,
enzyme,b1779,0.000188388354417585,
enzyme,b1101,9.43990874447113e-05,
enzyme,b2417,3.89528046048437e-05,
enzyme,b1621,5.82830964046163e-05,
enzyme,b1297,8.36127057447435e-07,
enzyme,b3870,7.01668884135576e-07,
enzyme,b0809,0.0,
enzyme,b0811,0.0,
enzyme,b0810,0.0,
enzyme,b1761,1.41398242756652e-06,
enzyme,b1524,0.0,
enzyme,b0485,0.0,
enzyme,b1812,0.0,
enzyme,b3213,0.0,
enzyme,b3212,0.0,
enzyme,b4077,0.0,
enzyme,b2029,7.39603540725465e-06,
enzyme,b0875,3.53873121081583e-05,
enzyme,b1136,3.32232717171043e-07,
enzyme,b4015,0.0,
enzyme,b1380,0.0,
enzyme,b2133,0.0,
enzyme,b4014,0.0,
enzyme,b2976,0.0,
enzyme,b3236,0.0,
enzyme,b1479,0.0,
enzyme,b2463,0.0,
enzyme,b2281,0.000341186831360792,
enzyme,b2277,9.32588925109037e-05,
enzyme,b2280,0.000306034520270322,
enzyme,b2286,5.29203512133853e-05,
enzyme,b2287,0.000207754465389546,
enzyme,b2284,0.000116374833050078,
enzyme,b2276,0.000108152034621237,
enzyme,b2282,0.000118646217539583,
enzyme,b2279,0.00013765050009434,
enzyme,b2283,4.68095176495474e-05,
enzyme,b2285,0.000202741755248346,
enzyme,b2288,9.14561042849439e-05,
enzyme,b2278,7.29423675518637e-05,
enzyme,b1603,0.0,
enzyme,b3962,0.0,
enzyme,b1602,0.0,
enzyme,b0451,1.46910496137522e-05,
enzyme,b0114,0.000107647045296553,
enzyme,b0115,8.2997736920659e-05,
enzyme,b3916,0.00010512433582631,
enzyme,b1723,0.000157848121307777,
enzyme,b3114,0.0,
enzyme,b2579,0.0,
enzyme,b3951,0.0,
enzyme,b0902,0.0,
enzyme,b3952,0.0,
enzyme,b0903,0.0,
enzyme,b4025,9.6553939067411e-06,
enzyme,b2926,5.25627686923866e-05,
enzyme,b0767,4.29411046584294e-05,
enzyme,b3612,3.90869462237817e-05,
enzyme,b4395,0.000153058387787013,
enzyme,b0755,0.000173872694628303,
enzyme,b3493,2.58541379646798e-05,
enzyme,b2987,3.26470644608606e-05,
enzyme,b3956,1.29282103987975e-07,
enzyme,b3403,0.0,
enzyme,b1702,0.0,
enzyme,b2297,6.45177173647572e-05,
enzyme,b2458,3.07003126618188e-05,
enzyme,b1676,4.99652541969993e-05,
enzyme,b1854,2.8648142801287e-05,
enzyme,b3386,1.28258031471977e-05,
enzyme,b4301,6.85885694626726e-05,
enzyme,b2914,1.19640988951574e-07,
enzyme,b4090,1.30867739966793e-06,
enzyme,b0721,0.0,
enzyme,b0722,0.0,
enzyme,b0724,0.0,
enzyme,b0723,0.0,
enzyme,b0729,0.0,
enzyme,b0728,0.0,
enzyme,b0008,9.70841986415491e-06,
enzyme,b2464,1.44264076601574e-05,
enzyme,b2465,3.54395087849932e-08,
enzyme,b2935,1.78563864925105e-08,
enzyme,b3919,4.7026347484951e-07,
